path,total_lines,read_lines,read_confirmed_at
".github/workflows/ci.yml",322,322,"2025-08-31T03:19:33.435Z"
".github/workflows/ci-cd.yml",225,225,"2025-08-31T03:19:33.435Z"
".github/workflows/health-check.yml",231,231,"2025-08-31T03:19:33.435Z"
".gitignore",176,176,"2025-08-31T03:19:33.435Z"
"apps/api/.env",82,82,"2025-08-31T03:19:33.435Z"
"apps/api/.env.example",82,82,"2025-08-31T03:19:33.435Z"
"apps/api/Dockerfile",61,61,"2025-08-31T03:19:33.435Z"
"apps/api/nest-cli.json",10,10,"2025-08-31T03:19:33.435Z"
"apps/api/package.json",161,161,"2025-08-31T03:19:33.435Z"
"apps/api/prisma/migrations/20240101000000_init/migration.sql",1689,1689,"2025-08-31T03:19:33.435Z"
"apps/api/prisma/schema.prisma",1635,1635,"2025-08-31T03:19:33.435Z"
"apps/api/prisma/seed.ts",564,564,"2025-08-31T03:19:33.435Z"
"apps/api/src/app.module.ts",137,137,"2025-08-31T03:19:33.435Z"
"apps/api/src/common/guards/jwt-auth.guard.ts",33,33,"2025-08-31T03:19:33.435Z"
"apps/api/src/common/guards/roles.guard.ts",56,56,"2025-08-31T03:19:33.435Z"
"apps/api/src/common/interceptors/request-logging.interceptor.ts",66,66,"2025-08-31T03:19:33.435Z"
"apps/api/src/common/middleware/request-id.middleware.ts",29,29,"2025-08-31T03:19:33.435Z"
"apps/api/src/config/configuration.ts",160,160,"2025-08-31T03:19:33.435Z"
"apps/api/src/config/validation.ts",152,152,"2025-08-31T03:19:33.435Z"
"apps/api/src/database/prisma.module.ts",8,8,"2025-08-31T03:19:33.435Z"
"apps/api/src/database/prisma.service.ts",113,113,"2025-08-31T03:19:33.435Z"
"apps/api/src/health/health.controller.ts",97,97,"2025-08-31T03:19:33.435Z"
"apps/api/src/health/health.module.ts",7,7,"2025-08-31T03:19:33.435Z"
"apps/api/src/main.ts",89,89,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/ab-testing/ab-testing.service.ts",411,411,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/analytics/analytics.module.ts",13,13,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/analytics/analytics.service.ts",1803,1803,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/analytics/interfaces.ts",151,151,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/analytics/performance-metrics.interceptor.ts",303,303,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/analytics/performance-monitor.controller.ts",499,499,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/analytics/performance-monitor.service.ts",1066,1066,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/audit/audit.service.ts",423,423,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/auth/auth.controller.ts",213,213,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/auth/auth.module.ts",33,33,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/auth/auth.service.spec.ts",141,141,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/auth/auth.service.ts",500,500,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/auth/decorators/public.decorator.ts",4,4,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/auth/dto/index.ts",96,96,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/auth/interfaces/index.ts",89,89,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/auth/roles.decorator.ts",4,4,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/auth/roles.guard.ts",27,27,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/auth/strategies/jwt.strategy.ts",45,45,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/auth/strategies/jwt-refresh.strategy.ts",39,39,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/auth/strategies/local.strategy.ts",22,22,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/certification/certification.controller.ts",54,54,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/certification/certification.module.ts",12,12,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/certification/certification.service.ts",745,745,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/challenges/challenges.module.ts",10,10,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/challenges/challenges.service.ts",1202,1202,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/challenges/dto/index.ts",63,63,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/challenges/interfaces/index.ts",78,78,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/coaching/coaching.service.ts",621,621,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/community/community.module.ts",10,10,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/community/community.service.ts",1474,1474,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/community/dto/index.ts",77,77,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/community/interfaces/index.ts",91,91,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/custom-models/custom-model.controller.ts",596,596,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/custom-models/custom-model.service.ts",1200,1200,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/custom-models/custom-models.module.ts",13,13,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/custom-models/providers/anthropic-finetuning.provider.ts",186,186,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/custom-models/providers/google-finetuning.provider.ts",192,192,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/custom-models/providers/openai-finetuning.provider.ts",151,151,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/dna-analysis/dna-analysis.controller.ts",179,179,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/dna-analysis/dna-analysis.module.ts",12,12,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/dna-analysis/dna-analysis.service.ts",947,947,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/email/email.service.ts",622,622,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/enterprise/audit.controller.ts",381,381,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/enterprise/audit.service.ts",937,937,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/enterprise/data-residency.controller.ts",440,440,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/enterprise/data-residency.service.ts",882,882,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/enterprise/sso.service.ts",624,624,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/gamification/achievement.service.ts",25,25,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/gamification/badge.service.ts",25,25,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/gamification/gamification.controller.ts",29,29,"2025-08-31T03:19:33.435Z"
